,bedroomcnt,bathroomcnt,calculatedfinishedsquarefeet,taxvaluedollarcnt,yearbuilt,taxamount,fips,parcelid
125,3.0,1.0,1135.0,405844.0,1951.0,4956.25,6037.0,12400532
126,3.0,3.0,1912.0,613000.0,1988.0,7620.79,6037.0,12779665
127,2.0,2.0,1581.0,526237.0,1941.0,6513.41,6037.0,11553985
128,4.0,2.0,1545.0,529000.0,1957.0,6454.32,6037.0,11016174
129,3.0,2.0,1612.0,240155.0,1941.0,3904.88,6037.0,12767272
130,3.0,3.0,2388.0,925806.0,1951.0,11212.58,6037.0,10816453
131,4.0,2.0,1975.0,273372.0,1963.0,3669.92,6059.0,13955211
132,2.0,2.0,1317.0,86578.0,1955.0,1814.04,6037.0,11281518
133,4.0,3.5,2802.0,1074416.0,2014.0,14637.34,6059.0,13963357
134,4.0,3.0,3099.0,921394.0,1986.0,10782.16,6059.0,14195073
135,3.0,2.0,1436.0,386000.0,1953.0,4926.37,6037.0,12760933
136,2.0,1.0,927.0,61223.0,1952.0,1053.05,6037.0,12760263
137,3.0,2.0,1094.0,101143.0,1957.0,1975.25,6037.0,11280307
138,2.0,1.0,796.0,250798.0,1951.0,3397.37,6037.0,12768887
139,3.0,2.0,1502.0,105149.0,1987.0,2037.28,6037.0,11298368
140,3.0,2.0,1427.0,304588.0,1972.0,3878.36,6059.0,13951150
141,4.0,2.0,1352.0,44559.0,1953.0,1320.52,6037.0,11285800
142,2.0,1.0,952.0,792910.0,1966.0,10122.52,6059.0,13941306
143,3.0,1.0,1236.0,258887.0,1910.0,3524.58,6037.0,12268626
144,4.0,2.0,1754.0,183000.0,1980.0,2883.66,6037.0,11278514
145,2.0,1.0,981.0,430000.0,1913.0,5186.7,6037.0,11792481
146,2.0,1.0,832.0,144102.0,1948.0,2039.16,6037.0,12756670
147,3.0,1.5,1396.0,565000.0,1957.0,6760.46,6111.0,17059646
148,3.0,1.0,983.0,43506.0,1954.0,1407.67,6037.0,11201145
149,3.0,2.0,1560.0,114760.0,1979.0,2263.58,6037.0,11201591
150,4.0,2.0,1527.0,61042.0,1964.0,1193.1,6059.0,13950810
151,3.0,2.0,1703.0,302612.0,1963.0,3847.18,6037.0,11013055
152,4.0,3.5,2637.0,933713.0,2000.0,10429.92,6059.0,14066648
153,3.0,2.0,1321.0,460811.0,1954.0,5789.85,6037.0,12592021
154,4.0,2.0,2048.0,213244.0,2006.0,3183.54,6037.0,11202454
155,3.0,2.0,864.0,260056.0,1947.0,3303.91,6037.0,10969383
156,2.0,1.0,992.0,20865.0,1925.0,769.33,6037.0,12213784
157,3.0,2.5,904.0,162456.0,1948.0,2079.52,6059.0,14252582
158,3.0,2.0,1569.0,125729.0,1991.0,2317.52,6037.0,11312166
159,4.0,2.0,2044.0,81779.0,1955.0,1156.38,6059.0,13867661
160,3.0,5.5,4361.0,1562700.0,1999.0,17692.72,6111.0,17222974
161,3.0,2.0,1950.0,1218072.0,1951.0,14800.5,6037.0,12023868
162,4.0,3.0,2846.0,269273.0,1977.0,3630.68,6111.0,17294157
163,3.0,2.0,1214.0,473134.0,1955.0,5888.55,6037.0,12473881
164,3.0,1.0,1083.0,55040.0,1948.0,932.45,6037.0,12252417
165,4.0,3.0,2215.0,529990.0,1990.0,6365.65,6037.0,10750812
166,3.0,2.0,1202.0,179483.0,1991.0,3339.17,6037.0,11213714
167,4.0,2.5,2542.0,1090401.0,1978.0,11660.16,6111.0,17290244
168,3.0,2.0,1464.0,246454.0,1955.0,3174.63,6037.0,12836830
169,2.0,1.0,848.0,67166.0,1942.0,1073.92,6037.0,12480709
170,4.0,3.0,2800.0,191531.0,1934.0,2317.69,6037.0,12179610
171,5.0,3.0,2266.0,690000.0,2005.0,8562.89,6037.0,11860038
172,3.0,2.0,2020.0,222638.0,1985.0,3433.82,6037.0,11270112
173,5.0,2.5,2882.0,395169.0,1973.0,3946.7,6059.0,14486421
174,3.0,2.0,1573.0,286985.0,1958.0,3843.2,6037.0,12741391
175,3.0,2.0,1223.0,158313.0,1991.0,2701.1,6037.0,11315088
176,4.0,2.0,1904.0,1656855.0,1951.0,19849.65,6037.0,11646891
177,2.0,1.0,1104.0,44435.0,1923.0,510.56,6037.0,12082610
178,3.0,3.0,2240.0,670065.0,1978.0,8868.14,6037.0,10818262
179,2.0,1.0,699.0,176038.0,1949.0,2533.45,6037.0,12273512
180,4.0,2.0,1698.0,296484.0,1973.0,3337.5,6059.0,14241975
181,3.0,2.0,2170.0,257517.0,1980.0,2846.28,6111.0,17187503
182,1.0,1.0,490.0,124890.0,1951.0,1722.75,6037.0,12811897
183,6.0,3.0,2901.0,425115.0,1997.0,4842.42,6111.0,17129832
184,2.0,1.0,1008.0,407000.0,1950.0,5246.44,6037.0,12747257
185,6.0,2.0,2333.0,350917.0,1997.0,4185.86,6111.0,17161340
186,3.0,2.0,1120.0,504579.0,1976.0,5217.8,6059.0,14503257
187,4.0,3.0,1914.0,166190.0,1997.0,2772.24,6037.0,11276186
188,3.0,1.0,1299.0,543654.0,1952.0,6679.8,6037.0,10808702
189,4.0,3.0,2758.0,659912.0,2005.0,8972.64,6059.0,13903594
190,4.0,3.0,1972.0,629875.0,2002.0,7123.64,6059.0,13977892
191,3.0,2.0,1112.0,55304.0,1955.0,877.82,6059.0,13905056
192,4.0,2.5,1704.0,280520.0,1974.0,3172.52,6059.0,14227765
193,2.0,1.0,1680.0,856000.0,1920.0,10119.9,6037.0,12464212
194,4.0,2.0,2151.0,1234000.0,1975.0,13636.8,6111.0,17051583
195,2.0,2.0,1686.0,1395968.0,2005.0,16760.44,6037.0,11532991
196,3.0,1.0,1180.0,508000.0,1952.0,6211.15,6037.0,12471532
197,5.0,6.0,7003.0,4370651.0,2002.0,47861.25,6037.0,12075306
198,3.0,2.0,1800.0,707681.0,1962.0,7398.92,6111.0,17071003
199,5.0,3.0,2897.0,234513.0,1964.0,2735.12,6059.0,13981009
200,4.0,2.0,1898.0,501583.0,1964.0,5874.19,6037.0,12817483
201,3.0,1.0,883.0,116280.0,1953.0,1871.05,6037.0,12745547
202,2.0,1.0,1200.0,85317.0,1922.0,1283.89,6037.0,11867912
203,3.0,1.0,1201.0,56144.0,1954.0,853.6,6059.0,14237264
204,2.0,1.0,800.0,480000.0,1923.0,5836.52,6037.0,11966821
205,2.0,1.0,990.0,132080.0,1921.0,1706.86,6037.0,12190349
206,2.0,1.0,913.0,30223.0,1916.0,878.45,6037.0,12273036
207,3.0,2.0,1229.0,390912.0,1954.0,4801.85,6037.0,11039885
208,3.0,2.5,2461.0,753315.0,1997.0,7367.22,6059.0,14501072
209,4.0,4.0,3413.0,390000.0,2007.0,4871.99,6037.0,11338161
210,3.0,2.5,2568.0,742000.0,1973.0,7801.04,6111.0,17083283
211,3.0,3.0,1810.0,550000.0,1954.0,6759.28,6037.0,12936527
212,4.0,2.0,2020.0,296740.0,1964.0,3761.44,6059.0,14089501
213,2.0,1.0,1303.0,433607.0,1949.0,5185.28,6059.0,14451614
214,2.0,2.0,1386.0,57936.0,1952.0,1288.57,6037.0,12380487
215,5.0,4.5,3835.0,723980.0,2002.0,10720.04,6059.0,14156920
216,3.0,2.0,1407.0,51307.0,1972.0,1240.09,6037.0,11263345
217,3.0,3.0,1817.0,438372.0,2003.0,6426.23,6037.0,13000325
218,4.0,1.0,1170.0,40423.0,1925.0,790.24,6037.0,12124453
219,3.0,1.0,999.0,816420.0,1952.0,9203.32,6111.0,17172225
220,4.0,4.5,4254.0,1618814.0,2007.0,17882.32,6059.0,14336636
221,3.0,2.0,1511.0,424568.0,1963.0,5064.2,6037.0,12896685
222,6.0,5.5,5400.0,2317561.0,1994.0,25593.0,6059.0,14336696
223,3.0,3.5,5019.0,1245366.0,1991.0,13267.26,6059.0,14421501
224,7.0,3.0,3130.0,326341.0,2000.0,5021.35,6037.0,11185483
225,3.0,4.0,3735.0,974032.0,2003.0,10689.72,6111.0,17193599
226,3.0,2.0,1100.0,255693.0,1962.0,4000.43,6037.0,13003913
227,5.0,4.0,2590.0,446951.0,1956.0,5509.97,6037.0,11073063
228,3.0,2.0,1346.0,97327.0,1985.0,1253.91,6037.0,11248913
229,4.0,3.0,2274.0,261538.0,1972.0,3403.26,6037.0,13049078
230,3.0,2.0,1402.0,43233.0,1953.0,811.99,6037.0,12900424
231,2.0,2.0,1895.0,542048.0,1950.0,6534.81,6037.0,11946092
232,4.0,3.0,2468.0,685323.0,2005.0,8212.36,6037.0,11857848
233,0.0,1.0,740.0,188000.0,1899.0,2399.69,6037.0,11787436
234,4.0,2.0,2263.0,294410.0,1980.0,4220.2,6037.0,11108685
235,3.0,2.0,2149.0,74741.0,1966.0,716.7,6059.0,14376663
236,3.0,2.0,1736.0,88794.0,1942.0,1135.51,6037.0,10846097
237,4.0,2.0,1744.0,258581.0,1950.0,3590.79,6037.0,12717246
238,3.0,2.0,1380.0,194007.0,1962.0,2360.45,6037.0,11001320
239,3.0,2.0,1613.0,613000.0,1947.0,8058.98,6037.0,12998502
240,3.0,3.0,1481.0,182391.0,1970.0,2114.4,6111.0,17155088
241,4.0,3.0,2547.0,239615.0,1966.0,3942.91,6037.0,11678883
242,3.0,2.0,1353.0,862962.0,1962.0,9817.3,6059.0,14089018
243,4.0,4.0,4561.0,1752796.0,1981.0,18079.16,6059.0,14389080
244,4.0,2.0,1606.0,848826.0,1969.0,9582.38,6059.0,14044737
245,4.0,2.0,1633.0,565666.0,1962.0,7128.16,6059.0,14000922
246,4.0,3.0,1934.0,737000.0,1971.0,8338.72,6037.0,12413736
247,4.0,2.5,1940.0,569544.0,1981.0,5849.98,6059.0,14388331
248,4.0,2.0,1994.0,549236.0,1955.0,6871.02,6037.0,12731216
249,3.0,1.0,1196.0,198127.0,1959.0,2404.92,6037.0,11381373
250,4.0,3.5,2737.0,943202.0,2003.0,11951.56,6059.0,14342313
251,3.0,2.5,2059.0,583935.0,2012.0,7485.98,6059.0,14156172
252,5.0,3.0,2626.0,92317.0,1921.0,1292.36,6037.0,11757342
253,4.0,2.0,1972.0,1707368.0,1973.0,20585.62,6037.0,11667870
254,2.0,2.0,913.0,133025.0,1983.0,1823.27,6037.0,12889363
255,3.0,1.0,1275.0,219653.0,1924.0,3992.8,6037.0,11391305
256,0.0,0.0,2276.0,101792.0,,1609.95,6037.0,11392193
257,2.0,1.0,942.0,326191.0,1912.0,4022.66,6037.0,12504131
258,2.0,1.0,836.0,295437.0,1980.0,3645.14,6037.0,12504405
259,3.0,3.0,2047.0,1863960.0,1957.0,22539.45,6037.0,11667272
260,3.0,2.0,1680.0,540921.0,1970.0,5492.46,6059.0,14455986
261,2.0,1.0,874.0,281385.0,1940.0,3723.41,6037.0,12313206
262,3.0,2.0,1359.0,130843.0,1971.0,2441.08,6037.0,11203683
263,3.0,2.0,1333.0,387238.0,1949.0,5001.41,6037.0,12720469
264,6.0,6.0,4135.0,4318177.0,2013.0,51753.48,6037.0,11663691
265,3.0,2.0,1240.0,455000.0,1961.0,4792.36,6111.0,17113418
266,2.0,2.0,1291.0,71419.0,1951.0,1437.55,6037.0,11427902
267,4.0,2.0,1533.0,654836.0,1956.0,7942.88,6037.0,10850922
268,4.0,3.0,2238.0,325341.0,1983.0,4095.32,6037.0,12908998
269,4.0,2.0,1100.0,395000.0,1954.0,4887.85,6037.0,13022762
270,3.0,3.0,2225.0,242000.0,2005.0,5015.6,6037.0,11237179
271,4.0,2.0,1567.0,515000.0,1966.0,6200.92,6037.0,13034824
272,3.0,2.0,1687.0,468104.0,1951.0,5694.22,6037.0,12518552
273,4.0,2.0,1861.0,725000.0,1962.0,8124.14,6059.0,14145168
274,3.0,4.0,3337.0,796324.0,2004.0,14394.62,6111.0,17153405
275,2.0,1.0,1081.0,193998.0,1941.0,2425.65,6037.0,12630934
276,4.0,2.0,1918.0,79646.0,1962.0,1126.72,6059.0,14036322
277,4.0,3.0,1480.0,354585.0,1985.0,6739.28,6059.0,14436387
278,4.0,5.0,3201.0,1708630.0,1961.0,20688.55,6037.0,10859517
279,4.0,3.0,3249.0,483407.0,1983.0,4969.64,6059.0,14365560
280,3.0,2.5,1488.0,579707.0,1986.0,5991.9,6059.0,14363975
281,3.0,2.0,1456.0,150348.0,1955.0,1982.84,6037.0,12319747
282,3.0,1.0,1122.0,395132.0,1952.0,4809.79,6037.0,10780368
283,4.0,2.0,1627.0,226874.0,1971.0,2915.58,6059.0,14148752
284,3.0,2.0,1234.0,328206.0,1978.0,3514.48,6111.0,17265539
285,2.0,1.0,700.0,106916.0,1940.0,1743.23,6037.0,11484472
286,3.0,1.0,1066.0,490000.0,1950.0,6077.74,6037.0,12429914
287,3.0,2.0,1395.0,363459.0,1950.0,4550.17,6037.0,12925936
288,3.0,2.0,1568.0,107020.0,1955.0,1338.87,6037.0,12698066
289,3.0,2.0,1440.0,451786.0,1983.0,5486.27,6037.0,13040361
290,5.0,5.0,5218.0,1168139.0,1996.0,13336.29,6037.0,13044658
291,4.0,3.0,2348.0,201593.0,2007.0,2553.06,6037.0,11260390
292,3.0,2.0,1310.0,336927.0,1970.0,3944.38,6111.0,17151317
293,5.0,4.0,3064.0,945376.0,1956.0,11206.16,6037.0,12155776
294,3.0,1.5,1426.0,211762.0,1968.0,2595.1,6059.0,14111615
295,3.0,3.0,1802.0,122768.0,1958.0,1801.68,6037.0,12701259
296,4.0,2.0,2239.0,126166.0,1969.0,1707.7,6059.0,14033434
297,3.0,2.0,1465.0,650143.0,1978.0,7356.2,6111.0,17241297
298,4.0,2.0,1950.0,105131.0,1976.0,1203.52,6111.0,17151776
299,4.0,2.0,1624.0,267574.0,1976.0,3713.98,6037.0,11111466
300,3.0,2.5,1489.0,652227.0,1997.0,7730.2,6059.0,14349626
301,2.0,3.0,2419.0,5177672.0,1957.0,59223.38,6037.0,11684191
302,3.0,2.0,1218.0,141611.0,1993.0,2644.92,6037.0,11184912
303,4.0,2.5,1327.0,221072.0,1964.0,2839.48,6059.0,14107423
304,4.0,4.0,2791.0,1732657.0,1948.0,20966.1,6037.0,11655397
305,4.0,2.5,1748.0,462904.0,1966.0,5528.32,6059.0,14108092
306,4.0,5.0,3743.0,2278000.0,2005.0,25241.34,6037.0,11497349
307,3.0,2.0,1480.0,297965.0,1970.0,3170.22,6059.0,14300226
308,3.0,1.0,676.0,34328.0,1947.0,914.46,6037.0,12390789
309,3.0,1.0,973.0,354283.0,1937.0,4473.68,6059.0,14401101
310,4.0,3.0,3314.0,2083810.0,1959.0,25096.78,6037.0,11670323
311,3.0,3.0,2363.0,177242.0,1929.0,2196.35,6037.0,11628304
312,4.0,2.5,2477.0,644555.0,1989.0,7377.5,6059.0,14299759
313,2.0,2.0,884.0,276122.0,1924.0,3417.67,6037.0,10890671
314,3.0,2.0,1284.0,409000.0,1942.0,5064.09,6037.0,11094116
315,6.0,3.0,2375.0,610624.0,1962.0,7274.21,6037.0,12864046
316,5.0,4.0,3035.0,625734.0,1960.0,7460.77,6037.0,12863981
317,5.0,4.0,3971.0,750645.0,1998.0,9891.19,6037.0,12956746
318,4.0,2.0,1533.0,712000.0,1956.0,8618.1,6037.0,10851064
319,4.0,3.0,2131.0,804078.0,1984.0,10008.31,6037.0,13089562
320,4.0,2.0,1984.0,576979.0,1957.0,6708.02,6059.0,14024601
321,5.0,4.0,3437.0,630584.0,1962.0,7949.88,6037.0,11454380
322,2.0,2.0,1339.0,215448.0,1928.0,2832.54,6037.0,12235261
323,3.0,2.0,1186.0,49029.0,1949.0,901.19,6037.0,12953034
324,2.0,1.0,1082.0,314100.0,1921.0,3731.14,6037.0,12102046
325,2.0,1.0,1082.0,314100.0,1921.0,3731.14,6037.0,12102046
326,3.0,1.0,816.0,71135.0,1955.0,1173.12,6037.0,13084948
327,4.0,3.0,2387.0,214294.0,2004.0,4473.09,6037.0,11232191
328,2.0,1.0,1160.0,68398.0,1950.0,5572.57,6037.0,12329077
329,0.0,0.0,,2493444.0,,25740.28,6059.0,14466991
330,2.0,1.0,864.0,117339.0,1924.0,1953.93,6037.0,12391917
331,4.0,3.0,3272.0,232683.0,2006.0,5239.98,6037.0,11232792
332,6.0,3.0,2084.0,681380.0,1964.0,7924.63,6037.0,13078472
333,3.0,2.0,1101.0,360454.0,1961.0,4320.12,6111.0,17254469
334,4.0,3.0,2162.0,243234.0,1964.0,2573.32,6111.0,17283382
335,3.0,2.0,1456.0,259656.0,1925.0,3488.94,6037.0,11840396
336,3.0,2.0,1215.0,329000.0,1903.0,4089.57,6037.0,11771908
337,4.0,2.0,1816.0,1248517.0,1969.0,13451.16,6059.0,14313342
338,1.0,1.0,650.0,217558.0,1927.0,3031.99,6037.0,10977533
339,2.0,1.0,860.0,116922.0,1942.0,1796.92,6037.0,12303159
340,4.0,2.5,2282.0,536687.0,1995.0,5712.34,6059.0,14468115
341,4.0,3.0,2290.0,722061.0,1989.0,7325.46,6059.0,14412823
342,0.0,0.0,400.0,49627.0,1950.0,703.3,6037.0,11266326
343,3.0,2.5,1592.0,274736.0,1988.0,2905.46,6111.0,17073839
344,3.0,2.5,1866.0,425099.0,1990.0,4320.42,6059.0,14413446
345,3.0,2.0,1478.0,969563.0,1972.0,10732.36,6059.0,14405408
346,2.0,2.0,1893.0,1294443.0,1973.0,13933.18,6059.0,14296645
347,5.0,5.0,4129.0,1084653.0,2003.0,14224.47,6037.0,11136488
348,4.0,4.0,2996.0,735936.0,1993.0,8318.44,6059.0,14139870
349,4.0,3.0,2074.0,423564.0,1985.0,5318.82,6037.0,13072894
350,3.0,3.0,1555.0,494718.0,1986.0,4954.08,6059.0,14407010
351,3.0,1.0,1260.0,205430.0,1917.0,2578.04,6037.0,10992389
352,2.0,2.0,1660.0,74294.0,1938.0,1468.49,6037.0,11700828
353,3.0,2.5,1691.0,345337.0,1997.0,4366.22,6059.0,14093394
354,4.0,2.0,1872.0,321257.0,1991.0,4499.23,6037.0,12980417
355,3.0,2.0,1768.0,517766.0,1959.0,6367.51,6037.0,12329779
356,2.0,1.0,1248.0,643000.0,1946.0,7124.21,6037.0,10942915
